Country	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
Brazil	87.6	81.3	75.0	68.69999999999999	62.4	56.1	59.02	61.940000000000005	64.86	67.78	70.7	71.8	72.9	74.0	75.10000000000001	76.2	79.64	83.08	86.52000000000001	89.96000000000001	93.4	95.2	101.1	100.0	103.4	107.1	111.2	111.4	113.7
Brunei	38.6	38.6	38.6	38.6	38.6	38.6	38.6	38.6	38.6	38.6	38.6	32.96	27.32	21.68	16.04	10.4	12.86	15.32	17.78	20.240000000000002	22.7	7.2	12.0	18.4	25.5	40.0	35.5	28.6	28.4
Bulgaria	47.8	47.8	47.8	47.8	47.8	47.8	41.66	35.519999999999996	29.380000000000003	23.240000000000002	17.1	21.54	25.98	30.42	34.86	39.3	44.839999999999996	50.379999999999995	55.92	61.46	67.0	66.7	67.3	69.8	62.4	60.3	54.3	54.0	54.3
Burkina Faso	12.2	10.879999999999999	9.559999999999999	8.24	6.92	5.6	7.34	9.08	10.82	12.56	14.3	14.74	15.18	15.620000000000001	16.06	16.5	16.88	17.259999999999998	17.64	18.02	18.4	18.6	20.4	26.0	30.7	33.1	32.0	34.1	34.0
Burundi	16.8	16.64	16.48	16.32	16.16	16.0	17.12	18.240000000000002	19.36	20.48	21.6	21.96	22.32	22.68	23.04	23.4	24.04	24.68	25.32	25.96	26.6	29.6	28.8	27.2	29.4	30.5	35.7	36.2	43.0
Cape Verde	41.6	45.160000000000004	48.72	52.28	55.84	59.4	60.46	61.52	62.58	63.64	64.7	66.22	67.74	69.26	70.78	72.3	73.06	73.82	74.58	75.33999999999999	76.1	82.1	83.2	84.1	85.2	84.5	83.7	85.8	82.6
Cambodia	5.3	5.3	5.3	5.3	5.3	5.3	5.52	5.74	5.96	6.180000000000001	6.4	6.5600000000000005	6.720000000000001	6.88	7.04	7.2	10.3	13.4	16.5	19.6	22.7	24.2	33.8	46.8	55.7	65.1	71.1	74.4	85.7
Cameroon	30.9	27.88	24.86	21.84	18.82	15.8	15.3	14.8	14.3	13.8	13.3	13.18	13.06	12.94	12.82	12.7	12.02	11.34	10.66	9.98	9.3	12.1	13.1	14.2	14.9	13.9	18.4	16.6	19.3
Canada	100.6	102.67999999999999	104.75999999999999	106.84	108.92	111.0	111.02	111.03999999999999	111.06	111.08	111.1	128.18	145.26	162.34	179.42000000000002	196.5	196.5	196.5	196.5	196.5	196.5	196.5	196.5	196.5	196.5	196.5	196.5	196.5	196.5
Central African Republic	13.2	12.84	12.48	12.120000000000001	11.76	11.4	11.52	11.64	11.76	11.88	12.0	13.14	14.28	15.42	16.56	17.7	18.36	19.02	19.68	20.34	21.0	22.9	22.9	33.1	30.4	30.6	29.0	25.3	28.1
Chad	11.5	11.18	10.86	10.540000000000001	10.22	9.9	10.38	10.860000000000001	11.34	11.82	12.3	11.120000000000001	9.940000000000001	8.76	7.58	6.4	6.640000000000001	6.88	7.12	7.359999999999999	7.6	6.1	5.5	7.3	11.0	17.7	24.8	25.2	22.5
Chile	66.9	64.22	61.540000000000006	58.86	56.18	53.5	57.06	60.62	64.18	67.74	71.3	73.12	74.94	76.76	78.58	80.4	85.22	90.04	94.86	99.68	104.5	108.9	112.5	115.3	119.3	120.7	126.1	127.8	131.8
China	88.4	88.10000000000001	87.80000000000001	87.5	87.2	86.9	93.2	99.5	105.80000000000001	112.10000000000001	118.4	121.24000000000001	124.08	126.92	129.76	132.6	134.57999999999998	136.56	138.54	140.52	142.5	141.0	149.6	156.3	167.9	194.3	216.2	216.9	218.3
Colombia	30.7	32.0	33.3	34.6	35.900000000000006	37.2	35.84	34.480000000000004	33.120000000000005	31.759999999999998	30.4	34.32	38.24	42.16	46.08	50.0	53.24	56.480000000000004	59.72	62.96	66.2	65.3	69.4	69.5	70.4	52.4	53.2	56.3	55.5
Comoros	12.0	11.56	11.120000000000001	10.68	10.24	9.8	9.48	9.16	8.84	8.52	8.2	7.879999999999999	7.56	7.239999999999999	6.92	6.6	7.88	9.16	10.44	11.719999999999999	13.0	12.7	12.7	14.4	15.9	14.7	18.8	18.3	17.9
Republic of the Congo	29.1	26.740000000000002	24.380000000000003	22.02	19.66	17.3	15.58	13.86	12.14	10.42	8.7	7.18	5.659999999999999	4.139999999999999	2.619999999999999	1.1	-1.98	-5.0600000000000005	-8.14	-11.22	-14.3	-16.1	-8.9	-7.2	0.8	21.5	33.7	36.3	28.8
Democratic Republic of the Congo	25.3	20.58	15.86	11.139999999999999	6.419999999999998	1.7	1.72	1.74	1.76	1.78	1.8	1.78	1.76	1.74	1.72	1.7	1.52	1.3399999999999999	1.16	0.98	0.8	7.9	6.5	7.3	7.9	9.0	11.6	8.3	8.0
Costa Rica	30.8	27.900000000000002	25.0	22.1	19.200000000000003	16.3	19.96	23.62	27.28	30.94	34.6	37.02	39.440000000000005	41.86	44.28	46.7	48.400000000000006	50.1	51.800000000000004	53.5	55.2	58.8	60.1	65.5	70.5	74.3	78.9	81.8	82.7
Croatia	41.0	41.0	41.0	41.0	41.0	41.0	40.8	40.6	40.4	40.2	40.0	44.58	49.16	53.74	58.32	62.9	68.4	73.9	79.4	84.9	90.4	88.7	97.7	89.5	89.4	87.3	84.4	76.5	75.2
Cyprus	198.7	198.7	198.7	198.7	198.7	198.7	198.7	198.7	198.7	198.7	198.7	198.7	198.7	198.7	198.7	198.7	216.26	233.82	251.38	268.94	286.5	298.8	316.6	306.1	306.0	308.4	260.9	235.9	176.4
