Country	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
Brunei	21.9	22.64	23.38	24.12	24.86	25.6	25.94	26.28	26.62	26.96	27.3	27.900000000000002	28.5	29.1	29.7	30.3	30.5	30.7	30.900000000000002	31.1	31.3	32.5	32.8	32.1	31.3	31.1	30.4	30.8	30.8
Bulgaria	81.1	79.08	77.06	75.03999999999999	73.02	71.0	71.24	71.48	71.72	71.96000000000001	72.2	76.78	81.36	85.94	90.52	95.1	98.67999999999999	102.25999999999999	105.84	109.42	113.0	115.2	115.2	115.8	117.9	122.0	126.8	131.7	135.7
Burkina Faso	7.4	7.720000000000001	8.040000000000001	8.36	8.68	9.0	9.7	10.4	11.1	11.8	12.5	13.4	14.3	15.2	16.1	17.0	18.04	19.08	20.119999999999997	21.16	22.2	23.7	25.2	26.7	27.8	28.9	30.6	32.6	34.7
Burundi	5.6	5.46	5.32	5.18	5.04	4.9	4.84	4.78	4.72	4.66	4.6	4.699999999999999	4.8	4.8999999999999995	5.0	5.1	5.359999999999999	5.62	5.88	6.140000000000001	6.4	6.6	6.9	7.3	7.6	7.3	7.2	7.3	7.4
Cape Verde	0.6	0.66	0.72	0.78	0.8400000000000001	0.9	1.06	1.22	1.38	1.54	1.7	1.8	1.9000000000000001	2.0	2.1	2.2	2.3400000000000003	2.48	2.62	2.76	2.9	3.0	3.1	3.1	3.1	3.2	3.3	3.4	3.6
Cambodia	11.7	11.7	11.7	11.7	11.7	11.7	12.719999999999999	13.74	14.76	15.780000000000001	16.8	18.66	20.52	22.380000000000003	24.240000000000002	26.1	28.1	30.1	32.1	34.1	36.1	38.7	41.5	44.5	47.7	51.1	54.7	58.5	62.9
Cameroon	35.4	34.74	34.08	33.42	32.76	32.1	33.64	35.18	36.72	38.26	39.8	41.699999999999996	43.599999999999994	45.5	47.4	49.3	51.14	52.98	54.82	56.66	58.5	60.9	63.7	67.1	71.1	75.1	78.6	81.4	84.5
Canada	869.1	884.46	899.82	915.18	930.54	945.9	987.0799999999999	1028.26	1069.44	1110.62	1151.8	1182.98	1214.16	1245.34	1276.52	1307.7	1322.96	1338.22	1353.48	1368.74	1384.0	1427.5	1452.5	1486.2	1528.7	1539.0	1555.9	1602.4	1632.5
Central African Republic	2.8	2.82	2.84	2.86	2.88	2.9	2.94	2.98	3.02	3.06	3.1	3.16	3.22	3.28	3.34	3.4	3.58	3.76	3.94	4.12	4.3	4.5	4.7	3.0	3.0	3.2	3.3	3.5	3.6
Chad	6.6	6.739999999999999	6.88	7.02	7.16	7.3	7.5	7.7	7.9	8.100000000000001	8.3	10.260000000000002	12.22	14.180000000000001	16.14	18.1	19.060000000000002	20.02	20.98	21.939999999999998	22.9	22.9	24.9	26.4	28.2	29.0	27.1	26.3	27.0
Chile	119.1	130.07999999999998	141.06	152.04	163.01999999999998	174.0	182.9	191.8	200.7	209.6	218.5	229.72	240.94	252.16000000000003	263.38	274.6	285.76	296.92	308.08	319.24	330.4	350.6	369.2	384.2	390.9	399.9	406.6	411.8	428.4
