Country	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
Botswana	11622.0	11622.0	11622.0	11622.0	11622.0	11622.0	11782.4	11942.8	12103.2	12263.6	12424.0	12679.6	12935.2	13190.8	13446.4	13702.0	13882.6	14063.2	14243.8	14424.4	14605.0	15924.0	16479.0	17250.0	17803.0	17356.0	17255.0	17499.0	17853.0
Brazil	14446.0	14446.0	14446.0	14446.0	14446.0	14446.0	14442.2	14438.4	14434.6	14430.8	14427.0	14395.4	14363.8	14332.2	14300.6	14269.0	14936.0	15603.0	16270.0	16937.0	17604.0	17529.0	17370.0	19095.0	18327.0	16348.0	17747.0	17704.0	17827.0
Brunei	117078.0	117078.0	117078.0	117078.0	117078.0	117078.0	115150.8	113223.6	111296.4	109369.2	107442.0	107359.8	107277.6	107195.4	107113.2	107031.0	105526.4	104021.8	102517.2	101012.6	99508.0	93647.0	93123.0	91024.0	88147.0	89831.0	88186.0	87388.0	86072.0
Bulgaria	9909.0	9909.0	9909.0	9909.0	9909.0	9909.0	10084.0	10259.0	10434.0	10609.0	10784.0	11640.6	12497.2	13353.8	14210.4	15067.0	15687.8	16308.6	16929.4	17550.2	18171.0	18335.0	18883.0	18821.0	19633.0	20312.0	21620.0	22954.0	23904.0
Burkina Faso	1087.0	1087.0	1087.0	1087.0	1087.0	1087.0	1135.8	1184.6	1233.4	1282.2	1331.0	1389.0	1447.0	1505.0	1563.0	1621.0	1642.4	1663.8	1685.2	1706.6	1728.0	1758.0	1843.0	1888.0	1876.0	1883.0	1927.0	1996.0	2077.0
Burundi	901.0	901.0	901.0	901.0	901.0	901.0	884.4	867.8	851.2	834.6	818.0	807.4	796.8	786.2	775.6	765.0	770.0	775.0	780.0	785.0	790.0	621.0	630.0	641.0	644.0	602.0	579.0	563.0	555.0
Cape Verde	3370.0	3370.0	3370.0	3370.0	3370.0	3370.0	3712.2	4054.4	4396.6	4738.8	5081.0	5254.4	5427.8	5601.2	5774.6	5948.0	6133.0	6318.0	6503.0	6688.0	6873.0	7063.0	6955.0	6937.0	6728.0	6746.0	6976.0	7170.0	7497.0
Cambodia	1258.0	1258.0	1258.0	1258.0	1258.0	1258.0	1259.8	1261.6	1263.4	1265.2	1267.0	1459.4	1651.8	1844.2	2036.6	2229.0	2339.6	2450.2	2560.8	2671.4	2782.0	3032.0	3032.0	3272.0	3410.0	3543.0	3687.0	3882.0	4089.0
Cameroon	2659.0	2659.0	2659.0	2659.0	2659.0	2659.0	2699.0	2739.0	2779.0	2819.0	2859.0	2926.0	2993.0	3060.0	3127.0	3194.0	3225.2	3256.4	3287.6	3318.8	3350.0	3393.0	3432.0	3505.0	3650.0	3730.0	3786.0	3807.0	3858.0
Canada	40410.0	40410.0	40410.0	40410.0	40410.0	40410.0	41676.4	42942.8	44209.2	45475.6	46742.0	47254.8	47767.6	48280.4	48793.2	49306.0	49149.6	48993.2	48836.8	48680.4	48524.0	49346.0	49690.0	50300.0	51315.0	51372.0	51248.0	52118.0	52218.0
Central African Republic	1084.0	1084.0	1084.0	1084.0	1084.0	1084.0	1073.2	1062.4	1051.6	1040.8	1030.0	1028.8	1027.6	1026.4	1025.2	1024.0	1055.6	1087.2	1118.8	1150.4	1182.0	1225.0	1284.0	821.0	820.0	853.0	882.0	909.0	935.0
Chad	1285.0	1285.0	1285.0	1285.0	1285.0	1285.0	1271.4	1257.8	1244.2	1230.6	1217.0	1350.4	1483.8	1617.2	1750.6	1884.0	1954.6	2025.2	2095.8	2166.4	2237.0	2182.0	2297.0	2289.0	2371.0	2401.0	2203.0	2081.0	2056.0
Chile	17485.0	17485.0	17485.0	17485.0	17485.0	17485.0	18016.8	18548.6	19080.4	19612.2	20144.0	20515.2	20886.4	21257.6	21628.8	22000.0	22482.0	22964.0	23446.0	23928.0	24410.0	25678.0	27122.0	28063.0	28391.0	28793.0	28836.0	28229.0	28932.0
China	3044.0	3044.0	3044.0	3044.0	3044.0	3044.0	3316.4	3588.8	3861.2	4133.6	4406.0	4900.6	5395.2	5889.8	6384.4	6879.0	7763.0	8647.0	9531.0	10415.0	11299.0	12262.0	13261.0	14147.0	15257.0	16162.0	17171.0	18273.0	19410.0
Colombia	11703.0	11703.0	11703.0	11703.0	11703.0	11703.0	11503.8	11304.6	11105.4	10906.2	10707.0	10967.0	11227.0	11487.0	11747.0	12007.0	12202.8	12398.6	12594.4	12790.2	12986.0	13627.0	14082.0	14571.0	15538.0	15758.0	15921.0	15760.0	15657.0
Comoros	3211.0	3211.0	3211.0	3211.0	3211.0	3211.0	3225.8	3240.6	3255.4	3270.2	3285.0	3260.2	3235.4	3210.6	3185.8	3161.0	3146.6	3132.2	3117.8	3103.4	3089.0	3125.0	3146.0	3202.0	3183.0	3150.0	3139.0	3142.0	3030.0
Republic of the Congo	4737.0	4737.0	4737.0	4737.0	4737.0	4737.0	4630.0	4523.0	4416.0	4309.0	4202.0	4061.4	3920.8	3780.2	3639.6	3499.0	3724.0	3949.0	4174.0	4399.0	4624.0	4547.0	5424.0	5849.0	6800.0	8728.0	7735.0	6929.0	6621.0
Democratic Republic of the Congo	794.0	794.0	794.0	794.0	794.0	794.0	765.0	736.0	707.0	678.0	649.0	648.8	648.6	648.4	648.2	648.0	662.8	677.6	692.4	707.2	722.0	740.0	763.0	768.0	817.0	858.0	910.0	901.0	917.0
Costa Rica	12667.0	12667.0	12667.0	12667.0	12667.0	12667.0	12742.6	12818.2	12893.8	12969.4	13045.0	13125.6	13206.2	13286.8	13367.4	13448.0	13967.8	14487.6	15007.4	15527.2	16047.0	16285.0	16624.0	16711.0	17275.0	17470.0	18558.0	18842.0	19016.0
Croatia	16749.0	16749.0	16749.0	16749.0	16749.0	16749.0	17113.4	17477.8	17842.2	18206.6	18571.0	19542.0	20513.0	21484.0	22455.0	23426.0	23491.6	23557.2	23622.8	23688.4	23754.0	24116.0	23456.0	23425.0	23290.0	24358.0	24827.0	26278.0	26959.0
Cuba	4722.0	4722.0	4722.0	4722.0	4722.0	4722.0	4937.0	5152.0	5367.0	5582.0	5797.0	6080.8	6364.6	6648.4	6932.2	7216.0	7548.6	7881.2	8213.8	8546.4	8879.0	9180.0	9491.0	9743.0	9813.0	10247.0	10305.0	10499.0	10625.0
Cyprus	32442.0	32442.0	32442.0	32442.0	32442.0	32442.0	32991.4	33540.8	34090.2	34639.6	35189.0	36320.6	37452.2	38583.8	39715.4	40847.0	40631.0	40415.0	40199.0	39983.0	39767.0	39643.0	36860.0	34159.0	34002.0	35887.0	36389.0	37475.0	38403.0
Czechia	24597.0	24597.0	24597.0	24597.0	24597.0	24597.0	25000.8	25404.6	25808.4	26212.2	26616.0	27626.2	28636.4	29646.6	30656.8	31667.0	32129.6	32592.2	33054.8	33517.4	33980.0	33881.0	33927.0	33594.0	34241.0	35826.0	36518.0	38050.0	39326.0
Ivory Coast	3756.0	3756.0	3756.0	3756.0	3756.0	3756.0	3755.0	3754.0	3753.0	3752.0	3751.0	3705.2	3659.4	3613.6	3567.8	3522.0	3602.8	3683.6	3764.4	3845.2	3926.0	3649.0	3958.0	4145.0	4463.0	4695.0	5066.0	5115.0	5355.0
Denmark	45777.0	45777.0	45777.0	45777.0	45777.0	45777.0	46753.6	47730.2	48706.8	49683.4	50660.0	51471.6	52283.2	53094.8	53906.4	54718.0	54296.4	53874.8	53453.2	53031.6	52610.0	52867.0	52714.0	53261.0	54361.0	55135.0	55438.0	56153.0	56731.0
Djibouti	2725.0	2725.0	2725.0	2725.0	2725.0	2725.0	2678.4	2631.8	2585.2	2538.6	2492.0	2541.6	2591.2	2640.8	2690.4	2740.0	2794.0	2848.0	2902.0	2956.0	3010.0	3052.0	3134.0	3345.0	3561.0	3817.0	4050.0	4068.0	4232.0
Dominican Republic	9251.0	9251.0	9251.0	9251.0	9251.0	9251.0	9671.4	10091.8	10512.2	10932.6	11353.0	11468.6	11584.2	11699.8	11815.4	11931.0	12482.6	13034.2	13585.8	14137.4	14689.0	14500.0	14532.0	15026.0	16041.0	16692.0	17453.0	17888.0	18975.0
Ecuador	10224.0	10224.0	10224.0	10224.0	10224.0	10224.0	10053.4	9882.8	9712.2	9541.6	9371.0	9711.2	10051.4	10391.6	10731.8	11072.0	11291.4	11510.8	11730.2	11949.6	12169.0	12949.0	13381.0	13894.0	14312.0	13798.0	13090.0	13067.0	12960.0
Egypt	10125.0	10125.0	10125.0	10125.0	10125.0	10125.0	10587.2	11049.4	11511.6	11973.8	12436.0	12595.8	12755.6	12915.4	13075.2	13235.0	13768.2	14301.4	14834.6	15367.8	15901.0	14805.0	14784.0	15163.0	15238.0	15634.0	16322.0	16571.0	16989.0
El Salvador	7493.0	7493.0	7493.0	7493.0	7493.0	7493.0	7496.8	7500.6	7504.4	7508.2	7512.0	7551.0	7590.0	7629.0	7668.0	7707.0	7688.2	7669.4	7650.6	7631.8	7613.0	7853.0	8032.0	7715.0	8109.0	8341.0	8514.0	8772.0	8943.0
Equatorial Guinea	2472.0	2472.0	2472.0	2472.0	2472.0	2472.0	4344.8	6217.6	8090.4	9963.2	11836.0	14837.0	17838.0	20839.0	23840.0	26841.0	26840.8	26840.6	26840.4	26840.2	26840.0	27622.0	29450.0	28501.0	27956.0	28745.0	26204.0	23826.0	21808.0
Eritrea	2829.0	2829.0	2829.0	2829.0	2829.0	2829.0	2877.8	2926.6	2975.4	3024.2	3073.0	3007.2	2941.4	2875.6	2809.8	2744.0	2653.6	2563.2	2472.8	2382.4	2292.0	2460.0	1855.0	1905.0	1920.0	1927.0	1918.0	1967.0	2011.0
Estonia	14659.0	14659.0	14659.0	14659.0	14659.0	14659.0	15540.2	16421.4	17302.6	18183.8	19065.0	20683.2	22301.4	23919.6	25537.8	27156.0	27174.2	27192.4	27210.6	27228.8	27247.0	29544.0	31386.0	32793.0	33880.0	34511.0	35675.0	37407.0	38653.0
Swaziland	8316.0	8316.0	8316.0	8316.0	8316.0	8316.0	8410.6	8505.2	8599.8	8694.4	8789.0	9255.0	9721.0	10187.0	10653.0	11119.0	11071.6	11024.2	10976.8	10929.4	10882.0	11489.0	11883.0	12122.0	12080.0	12026.0	12055.0	11895.0	11798.0
Ethiopia	729.0	729.0	729.0	729.0	729.0	729.0	736.8	744.6	752.4	760.2	768.0	808.6	849.2	889.8	930.4	971.0	1048.4	1125.8	1203.2	1280.6	1358.0	1470.0	1551.0	1667.0	1781.0	1904.0	2025.0	2148.0	2231.0
Fiji	8879.0	8879.0	8879.0	8879.0	8879.0	8879.0	9089.2	9299.4	9509.6	9719.8	9930.0	10013.2	10096.4	10179.6	10262.8	10346.0	10122.2	9898.4	9674.6	9450.8	9227.0	9344.0	9461.0	10116.0	10574.0	11239.0	11632.0	11910.0	12293.0
Finland	32714.0	32714.0	32714.0	32714.0	32714.0	32714.0	34620.8	36527.6	38434.4	40341.2	42248.0	43268.2	44288.4	45308.6	46328.8	47349.0	47267.8	47186.6	47105.4	47024.2	46943.0	48471.0	46213.0	46579.0	46090.0	45805.0	47300.0	47963.0	48689.0
France	39595.0	39595.0	39595.0	39595.0	39595.0	39595.0	40747.0	41899.0	43051.0	44203.0	45355.0	45623.6	45892.2	46160.8	46429.4	46698.0	46418.6	46139.2	45859.8	45580.4	45301.0	46214.0	45569.0	45470.0	45946.0	46281.0	46549.0	47845.0	48507.0
Gabon	26605.0	26605.0	26605.0	26605.0	26605.0	26605.0	25675.8	24746.6	23817.4	22888.2	21959.0	21943.6	21928.2	21912.8	21897.4	21882.0	21141.4	20400.8	19660.2	18919.6	18179.0	17908.0	19384.0	19987.0	21716.0	20892.0	20918.0	20765.0	20182.0
Gambia	1783.0	1783.0	1783.0	1783.0	1783.0	1783.0	1792.8	1802.6	1812.4	1822.2	1832.0	1823.6	1815.2	1806.8	1798.4	1790.0	1879.2	1968.4	2057.6	2146.8	2236.0	2065.0	2116.0	2173.0	2083.0	2133.0	2086.0	2115.0	2190.0
Georgia	3164.0	3164.0	3164.0	3164.0	3164.0	3164.0	3541.6	3919.2	4296.8	4674.4	5052.0	5596.0	6140.0	6684.0	7228.0	7772.0	8117.0	8462.0	8807.0	9152.0	9497.0	10212.0	11134.0	11233.0	11893.0	11804.0	11848.0	12353.0	12929.0
Germany	44371.0	44371.0	44371.0	44371.0	44371.0	44371.0	44971.0	45571.0	46171.0	46771.0	47371.0	47592.8	47814.6	48036.4	48258.2	48480.0	48841.8	49203.6	49565.4	49927.2	50289.0	53275.0	53339.0	52865.0	53543.0	53863.0	54229.0	55143.0	55652.0
Ghana	2333.0	2333.0	2333.0	2333.0	2333.0	2333.0	2365.4	2397.8	2430.2	2462.6	2495.0	2574.8	2654.6	2734.4	2814.2	2894.0	3001.2	3108.4	3215.6	3322.8	3430.0	3772.0	3953.0	4297.0	4289.0	4454.0	4478.0	4696.0	4889.0
Greece	30675.0	30675.0	30675.0	30675.0	30675.0	30675.0	31341.6	32008.2	32674.8	33341.4	34008.0	34676.8	35345.6	36014.4	36683.2	37352.0	36917.4	36482.8	36048.2	35613.6	35179.0	31705.0	30408.0	29416.0	29548.0	29390.0	29334.0	29977.0	30262.0
Guatemala	8178.0	8178.0	8178.0	8178.0	8178.0	8178.0	8235.0	8292.0	8349.0	8406.0	8463.0	8479.0	8495.0	8511.0	8527.0	8543.0	8639.0	8735.0	8831.0	8927.0	9023.0	9415.0	8857.0	9292.0	9457.0	9537.0	9742.0	9838.0	9970.0
Guinea	1700.0	1700.0	1700.0	1700.0	1700.0	1700.0	1724.4	1748.8	1773.2	1797.6	1822.0	1813.6	1805.2	1796.8	1788.4	1780.0	1794.6	1809.2	1823.8	1838.4	1853.0	1903.0	1985.0	2026.0	2092.0	2120.0	2306.0	2564.0	2569.0
Guinea-Bissau	2004.0	2004.0	2004.0	2004.0	2004.0	2004.0	1946.0	1888.0	1830.0	1772.0	1714.0	1706.6	1699.2	1691.8	1684.4	1677.0	1683.2	1689.4	1695.6	1701.8	1708.0	1814.0	1735.0	1701.0	1766.0	1804.0	1871.0	1882.0	1895.0
Guyana	5030.0	5030.0	5030.0	5030.0	5030.0	5030.0	5314.6	5599.2	5883.8	6168.4	6453.0	6544.0	6635.0	6726.0	6817.0	6908.0	7193.8	7479.6	7765.4	8051.2	8337.0	8664.0	9045.0	9292.0	9548.0	9779.0	10118.0	10286.0	10532.0
Haiti	2119.0	2119.0	2119.0	2119.0	2119.0	2119.0	2125.6	2132.2	2138.8	2145.4	2152.0	2097.6	2043.2	1988.8	1934.4	1880.0	1862.8	1845.6	1828.4	1811.2	1794.0	1861.0	1887.0	1923.0	1951.0	1945.0	1951.0	1949.0	1949.0
Honduras	4398.0	4398.0	4398.0	4398.0	4398.0	4398.0	4435.2	4472.4	4509.6	4546.8	4584.0	4562.0	4540.0	4518.0	4496.0	4474.0	4505.6	4537.2	4568.8	4600.4	4632.0	4833.0	4973.0	4867.0	4790.0	5011.0	5052.0	5172.0	5304.0
Hong Kong	44370.0	44370.0	44370.0	44370.0	44370.0	44370.0	44688.2	45006.4	45324.6	45642.8	45961.0	47562.4	49163.8	50765.2	52366.6	53968.0	55777.2	57586.4	59395.6	61204.8	63014.0	67597.0	66241.0	68614.0	68628.0	70203.0	73733.0	77185.0	79385.0
