Country	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
Botswana	7052.0	7052.0	7052.0	7052.0	7052.0	7052.0	7208.4	7364.8	7521.2	7677.6	7834.0	7848.4	7862.8	7877.2	7891.6	7906.0	8489.6	9073.2	9656.8	10240.4	10824.0	12236.0	12776.0	13520.0	13966.0	13609.0	13588.0	13826.0	14177.0
Brazil	7409.0	7409.0	7409.0	7409.0	7409.0	7409.0	7490.0	7571.0	7652.0	7733.0	7814.0	8210.4	8606.8	9003.2	9399.6	9796.0	10012.0	10228.0	10444.0	10660.0	10876.0	11888.0	12484.0	11715.0	12120.0	12689.0	10186.0	10366.0	10432.0
Brunei	53203.0	53203.0	53203.0	53203.0	53203.0	53203.0	53945.6	54688.2	55430.8	56173.4	56916.0	57290.4	57664.8	58039.2	58413.6	58788.0	59025.8	59263.6	59501.4	59739.2	59977.0	65948.0	66291.0	65440.0	64469.0	67488.0	65897.0	66138.0	65913.0
Bulgaria	6699.0	6699.0	6699.0	6699.0	6699.0	6699.0	6680.2	6661.4	6642.6	6623.8	6605.0	7282.4	7959.8	8637.2	9314.6	9992.0	10382.0	10772.0	11162.0	11552.0	11942.0	12192.0	12428.0	12540.0	12933.0	13206.0	14102.0	15016.0	15622.0
Burkina Faso	706.0	706.0	706.0	706.0	706.0	706.0	727.8	749.6	771.4	793.2	815.0	836.2	857.4	878.6	899.8	921.0	948.0	975.0	1002.0	1029.0	1056.0	1084.0	1149.0	1192.0	1202.0	1209.0	1239.0	1287.0	1336.0
Burundi	727.0	727.0	727.0	727.0	727.0	727.0	710.2	693.4	676.6	659.8	643.0	634.6	626.2	617.8	609.4	601.0	614.8	628.6	642.4	656.2	670.0	843.0	859.0	879.0	886.0	827.0	796.0	774.0	763.0
Cape Verde	1557.0	1557.0	1557.0	1557.0	1557.0	1557.0	1766.0	1975.0	2184.0	2393.0	2602.0	2743.6	2885.2	3026.8	3168.4	3310.0	3545.8	3781.6	4017.4	4253.2	4489.0	4660.0	4704.0	4757.0	4708.0	4813.0	4995.0	5151.0	5523.0
Cambodia	920.0	920.0	920.0	920.0	920.0	920.0	1017.0	1114.0	1211.0	1308.0	1405.0	1437.4	1469.8	1502.2	1534.6	1567.0	1664.8	1762.6	1860.4	1958.2	2056.0	2060.0	2300.0	2420.0	2530.0	2649.0	2830.0	2976.0	3128.0
Cameroon	1819.0	1819.0	1819.0	1819.0	1819.0	1819.0	1849.4	1879.8	1910.2	1940.6	1971.0	2020.4	2069.8	2119.2	2168.6	2218.0	2243.8	2269.6	2295.4	2321.2	2347.0	2377.0	2407.0	2460.0	2566.0	2628.0	2672.0	2693.0	2724.0
Canada	22372.0	22372.0	22372.0	22372.0	22372.0	22372.0	23258.6	24145.2	25031.8	25918.4	26805.0	27549.6	28294.2	29038.8	29783.4	30528.0	30742.2	30956.4	31170.6	31384.8	31599.0	32544.0	32842.0	33473.0	33921.0	33905.0	34274.0	35012.0	35120.0
Central African Republic	685.0	685.0	685.0	685.0	685.0	685.0	678.6	672.2	665.8	659.4	653.0	652.0	651.0	650.0	649.0	648.0	677.6	707.2	736.8	766.4	796.0	819.0	856.0	542.0	541.0	562.0	584.0	605.0	622.0
