Country	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
South Korea	65.4	65.4	65.4	65.4	65.4	65.4	65.4	65.4	65.4	65.4	65.4	65.44	65.48	65.52	65.56	65.6	64.38	63.16	61.94	60.72	59.5	59.7	60.6	60.7	60.8	60.3	60.1	59.5	61.0
Kuwait	28.2	28.2	28.2	28.2	28.2	28.2	28.2	28.2	28.2	28.2	28.2	28.2	28.2	28.2	28.2	28.2	28.2	28.2	28.2	28.2	28.2	24.9	24.2	25.7	28.7	39.8	41.4	41.4	41.4
Latvia	48.7	48.7	48.7	48.7	48.7	48.7	48.7	48.7	48.7	48.7	48.7	48.080000000000005	47.46	46.84	46.22	45.6	46.2	46.800000000000004	47.4	48.0	48.6	44.7	45.3	46.9	48.5	51.4	53.4	53.4	53.6
Lithuania	48.6	48.6	48.6	48.6	48.6	48.6	48.6	48.6	48.6	48.6	48.6	48.7	48.800000000000004	48.9	49.0	49.1	48.46	47.82	47.18	46.54	45.9	44.0	43.8	44.6	45.5	47.7	50.0	49.8	50.6
Luxembourg	49.7	49.7	49.7	49.7	49.7	49.7	49.7	49.7	49.7	49.7	49.7	50.2	50.7	51.2	51.7	52.2	52.300000000000004	52.400000000000006	52.5	52.6	52.7	51.5	52.5	51.9	51.4	51.8	52.1	53.7	53.4
Malaysia	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	34.2	34.8	34.8	34.8	34.8
Malta	49.2	49.2	49.2	49.2	49.2	49.2	49.2	49.2	49.2	49.2	49.2	49.22	49.24	49.26	49.28	49.3	49.3	49.3	49.3	49.3	49.3	50.6	51.2	50.9	48.9	47.3	47.3	46.5	45.9
Mexico	39.3	39.3	39.3	39.3	39.3	39.3	39.3	39.3	39.3	39.3	39.3	39.379999999999995	39.46	39.54	39.620000000000005	39.7	39.5	39.300000000000004	39.1	38.900000000000006	38.7	37.7	37.7	38.4	37.7	37.6	36.6	35.9	35.5
Moldova	42.5	42.5	42.5	42.5	42.5	42.5	42.5	42.5	42.5	42.5	42.5	42.5	42.5	42.5	42.5	42.5	42.5	42.5	42.5	42.5	42.5	42.5	42.5	42.5	42.5	42.5	41.9	41.9	41.9
Mongolia	22.6	22.6	22.6	22.6	22.6	22.6	22.6	22.6	22.6	22.6	22.6	22.6	22.6	22.6	22.6	22.6	22.6	22.6	22.6	22.6	22.6	23.9	26.3	26.0	26.3	27.0	27.6	27.6	27.6
Netherlands	59.3	59.3	59.3	59.3	59.3	59.3	59.3	59.3	59.3	59.3	59.3	58.839999999999996	58.379999999999995	57.92	57.46	57.0	57.18	57.36	57.54	57.72	57.9	58.5	59.2	58.9	58.9	57.6	57.7	57.4	57.3
New Zealand	47.8	47.8	47.8	47.8	47.8	47.8	47.8	47.8	47.8	47.8	47.8	48.46	49.12	49.78	50.44	51.1	51.34	51.58	51.82	52.059999999999995	52.3	52.0	52.3	50.2	50.8	50.4	51.3	51.1	52.3
Macedonia	59.2	59.2	59.2	59.2	59.2	59.2	59.2	59.2	59.2	59.2	59.2	57.52	55.84	54.16	52.48	50.8	51.14	51.48	51.82	52.16	52.5	50.7	50.0	47.1	48.1	47.4	44.5	44.4	44.0
Norway	45.8	45.8	45.8	45.8	45.8	45.8	45.8	45.8	45.8	45.8	45.8	45.46	45.12	44.78	44.44	44.1	44.74	45.38	46.019999999999996	46.66	47.3	46.7	46.9	47.8	48.8	50.8	51.6	50.3	49.3
Peru	23.1	23.1	23.1	23.1	23.1	23.1	23.1	23.1	23.1	23.1	23.1	23.1	23.1	23.1	23.1	23.1	23.1	23.1	23.1	23.1	23.1	23.1	23.6	23.6	23.6	23.6	23.6	23.6	23.6
Philippines	32.2	32.2	32.2	32.2	32.2	32.2	32.2	32.2	32.2	32.2	32.2	32.2	32.2	32.2	32.2	32.2	32.2	32.2	32.2	32.2	32.2	35.0	35.1	34.6	34.9	35.3	35.7	36.3	36.3
Poland	56.8	56.8	56.8	56.8	56.8	56.8	56.8	56.8	56.8	56.8	56.8	55.379999999999995	53.96	52.54	51.120000000000005	49.7	49.56	49.42	49.28	49.14	49.0	47.9	47.8	47.7	47.8	47.1	48.2	48.3	49.0
Portugal	60.2	60.2	60.2	60.2	60.2	60.2	60.2	60.2	60.2	60.2	60.2	59.900000000000006	59.6	59.300000000000004	59.0	58.7	58.260000000000005	57.82	57.38	56.94	56.5	55.5	54.0	53.7	52.7	51.6	51.4	51.7	52.1
