Country	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
Bosnia and Herzegovina	1833.0	1833.0	1833.0	1833.0	1833.0	1833.0	2736.6	3640.2	4543.8	5447.4	6351.0	6750.2	7149.4	7548.6	7947.8	8347.0	8630.4	8913.8	9197.2	9480.6	9764.0	9976.0	10049.0	10466.0	10770.0	11274.0	11776.0	12275.0	12756.0
Botswana	8502.0	8663.4	8824.8	8986.2	9147.6	9309.0	9590.8	9872.6	10154.4	10436.2	10718.0	10913.8	11109.6	11305.4	11501.2	11697.0	12004.6	12312.2	12619.8	12927.4	13235.0	13839.0	14284.0	15727.0	16175.0	15660.0	16037.0	16165.0	16518.0
Brazil	10342.0	10486.0	10630.0	10774.0	10918.0	11062.0	11130.2	11198.4	11266.6	11334.8	11403.0	11592.8	11782.6	11972.4	12162.2	12352.0	12805.6	13259.2	13712.8	14166.4	14620.0	15062.0	15215.0	15536.0	15481.0	14807.0	14200.0	14236.0	14283.0
Brunei	84693.0	84982.2	85271.4	85560.6	85849.8	86139.0	85324.8	84510.6	83696.4	82882.2	82068.0	82249.8	82431.6	82613.4	82795.2	82977.0	82492.8	82008.6	81524.4	81040.2	80556.0	82503.0	82150.0	79323.0	76449.0	75074.0	72370.0	72524.0	71802.0
Bulgaria	9297.0	9126.8	8956.6	8786.4	8616.2	8446.0	8523.4	8600.8	8678.2	8755.6	8833.0	9550.4	10267.8	10985.2	11702.6	12420.0	12992.6	13565.2	14137.8	14710.4	15283.0	15676.0	15772.0	15939.0	16324.0	16999.0	17793.0	18606.0	19321.0
Burkina Faso	844.0	853.8	863.6	873.4	883.2	893.0	929.4	965.8	1002.2	1038.6	1075.0	1113.2	1151.4	1189.6	1227.8	1266.0	1297.4	1328.8	1360.2	1391.6	1423.0	1473.0	1521.0	1562.0	1582.0	1596.0	1642.0	1696.0	1756.0
Burundi	1027.0	986.0	945.0	904.0	863.0	822.0	801.2	780.4	759.6	738.8	718.0	713.0	708.0	703.0	698.0	693.0	701.2	709.4	717.6	725.8	734.0	739.0	748.0	761.0	768.0	716.0	689.0	671.0	660.0
Cape Verde	1676.0	1829.0	1982.0	2135.0	2288.0	2441.0	2732.2	3023.4	3314.6	3605.8	3897.0	4069.4	4241.8	4414.2	4586.6	4759.0	4995.8	5232.6	5469.4	5706.2	5943.0	6102.0	6091.0	6061.0	6022.0	6007.0	6214.0	6387.0	6662.0
Cambodia	1098.0	1098.0	1098.0	1098.0	1098.0	1098.0	1155.4	1212.8	1270.2	1327.6	1385.0	1501.8	1618.6	1735.4	1852.2	1969.0	2079.6	2190.2	2300.8	2411.4	2522.0	2658.0	2806.0	2963.0	3124.0	3290.0	3467.0	3654.0	3870.0
Cameroon	3004.0	2875.0	2746.0	2617.0	2488.0	2359.0	2400.0	2441.0	2482.0	2523.0	2564.0	2607.0	2650.0	2693.0	2736.0	2779.0	2798.4	2817.8	2837.2	2856.6	2876.0	2914.0	2965.0	3041.0	3134.0	3224.0	3285.0	3313.0	3352.0
